year,column_name,total_count,count_not_nulls,survey_table_name
2007,C15UGPRF,7052,0,InstitutionalCharacteristics_HD
2006,C15UGPRF,7052,0,InstitutionalCharacteristics_HD
2005,C15UGPRF,7018,0,InstitutionalCharacteristics_HD
2004,C15UGPRF,6916,0,InstitutionalCharacteristics_HD
2021,C15UGPRF_label,6289,0,InstitutionalCharacteristics_HD
2020,C15UGPRF_label,6440,0,InstitutionalCharacteristics_HD
2019,C15UGPRF_label,6559,0,InstitutionalCharacteristics_HD
2018,C15UGPRF_label,6857,0,InstitutionalCharacteristics_HD
2017,C15UGPRF_label,7153,7153,InstitutionalCharacteristics_HD
2016,C15UGPRF_label,7521,7521,InstitutionalCharacteristics_HD
2015,C15UGPRF_label,7647,7647,InstitutionalCharacteristics_HD
2014,C15UGPRF_label,7687,0,InstitutionalCharacteristics_HD
2013,C15UGPRF_label,7764,0,InstitutionalCharacteristics_HD
2012,C15UGPRF_label,7735,0,InstitutionalCharacteristics_HD
2011,C15UGPRF_label,7643,0,InstitutionalCharacteristics_HD
2010,C15UGPRF_label,7503,0,InstitutionalCharacteristics_HD
2009,C15UGPRF_label,7316,0,InstitutionalCharacteristics_HD
2008,C15UGPRF_label,7126,0,InstitutionalCharacteristics_HD
2007,C15UGPRF_label,7052,0,InstitutionalCharacteristics_HD
2006,C15UGPRF_label,7052,0,InstitutionalCharacteristics_HD
2005,C15UGPRF_label,7018,0,InstitutionalCharacteristics_HD
2004,C15UGPRF_label,6916,0,InstitutionalCharacteristics_HD
2021,C18BASIC,6289,6289,InstitutionalCharacteristics_HD
2020,C18BASIC,6440,6440,InstitutionalCharacteristics_HD
2019,C18BASIC,6559,6559,InstitutionalCharacteristics_HD
2018,C18BASIC,6857,6857,InstitutionalCharacteristics_HD
2017,C18BASIC,7153,0,InstitutionalCharacteristics_HD
2016,C18BASIC,7521,0,InstitutionalCharacteristics_HD
2015,C18BASIC,7647,0,InstitutionalCharacteristics_HD
2014,C18BASIC,7687,0,InstitutionalCharacteristics_HD
2013,C18BASIC,7764,0,InstitutionalCharacteristics_HD
2012,C18BASIC,7735,0,InstitutionalCharacteristics_HD
2011,C18BASIC,7643,0,InstitutionalCharacteristics_HD
2010,C18BASIC,7503,0,InstitutionalCharacteristics_HD
2009,C18BASIC,7316,0,InstitutionalCharacteristics_HD
2008,C18BASIC,7126,0,InstitutionalCharacteristics_HD
2007,C18BASIC,7052,0,InstitutionalCharacteristics_HD
2006,C18BASIC,7052,0,InstitutionalCharacteristics_HD
2005,C18BASIC,7018,0,InstitutionalCharacteristics_HD
2004,C18BASIC,6916,0,InstitutionalCharacteristics_HD
2021,C18BASIC_label,6289,6289,InstitutionalCharacteristics_HD
2020,C18BASIC_label,6440,6440,InstitutionalCharacteristics_HD
2019,C18BASIC_label,6559,6559,InstitutionalCharacteristics_HD
2018,C18BASIC_label,6857,6857,InstitutionalCharacteristics_HD
2017,C18BASIC_label,7153,0,InstitutionalCharacteristics_HD
2016,C18BASIC_label,7521,0,InstitutionalCharacteristics_HD
2015,C18BASIC_label,7647,0,InstitutionalCharacteristics_HD
2014,C18BASIC_label,7687,0,InstitutionalCharacteristics_HD
2013,C18BASIC_label,7764,0,InstitutionalCharacteristics_HD
2012,C18BASIC_label,7735,0,InstitutionalCharacteristics_HD
2011,C18BASIC_label,7643,0,InstitutionalCharacteristics_HD
2010,C18BASIC_label,7503,0,InstitutionalCharacteristics_HD
2009,C18BASIC_label,7316,0,InstitutionalCharacteristics_HD
2008,C18BASIC_label,7126,0,InstitutionalCharacteristics_HD
2007,C18BASIC_label,7052,0,InstitutionalCharacteristics_HD
2006,C18BASIC_label,7052,0,InstitutionalCharacteristics_HD
2005,C18BASIC_label,7018,0,InstitutionalCharacteristics_HD
2004,C18BASIC_label,6916,0,InstitutionalCharacteristics_HD
2021,C18ENPRF,6289,0,InstitutionalCharacteristics_HD
2020,C18ENPRF,6440,6440,InstitutionalCharacteristics_HD
2019,C18ENPRF,6559,6559,InstitutionalCharacteristics_HD
2018,C18ENPRF,6857,6857,InstitutionalCharacteristics_HD
2017,C18ENPRF,7153,0,InstitutionalCharacteristics_HD
2016,C18ENPRF,7521,0,InstitutionalCharacteristics_HD
2015,C18ENPRF,7647,0,InstitutionalCharacteristics_HD
2014,C18ENPRF,7687,0,InstitutionalCharacteristics_HD
2013,C18ENPRF,7764,0,InstitutionalCharacteristics_HD
2012,C18ENPRF,7735,0,InstitutionalCharacteristics_HD
2011,C18ENPRF,7643,0,InstitutionalCharacteristics_HD
2010,C18ENPRF,7503,0,InstitutionalCharacteristics_HD
2009,C18ENPRF,7316,0,InstitutionalCharacteristics_HD
2008,C18ENPRF,7126,0,InstitutionalCharacteristics_HD
2007,C18ENPRF,7052,0,InstitutionalCharacteristics_HD
2006,C18ENPRF,7052,0,InstitutionalCharacteristics_HD
2005,C18ENPRF,7018,0,InstitutionalCharacteristics_HD
2004,C18ENPRF,6916,0,InstitutionalCharacteristics_HD
2021,C18ENPRF_label,6289,0,InstitutionalCharacteristics_HD
2020,C18ENPRF_label,6440,6440,InstitutionalCharacteristics_HD
2019,C18ENPRF_label,6559,6559,InstitutionalCharacteristics_HD
2018,C18ENPRF_label,6857,6857,InstitutionalCharacteristics_HD
2017,C18ENPRF_label,7153,0,InstitutionalCharacteristics_HD
2016,C18ENPRF_label,7521,0,InstitutionalCharacteristics_HD
2015,C18ENPRF_label,7647,0,InstitutionalCharacteristics_HD
2014,C18ENPRF_label,7687,0,InstitutionalCharacteristics_HD
